"Gender","Age","Attitude","Points","SeekingMeaning","RelatingIdeas","UseOfEvidence","LackOfPurpose","UnrelatedMemorising","SyllabusBoundness","OrganizedStudying","TimeManagement"
"F",20,50,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",22,47,31,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,36,27,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,36,25,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",24,29,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,35,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",19,40,27,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,35,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,32,23,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",22,26,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",25,20,25,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",21,27,11,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",22,32,19,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",25,33,24,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,39,28,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",24,33,21,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,30,24,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",21,37,24,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,25,20,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"F",20,29,19,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
"M",31,39,30,15.4590163934426,15.0601092896175,13.8306010928962,10.6338797814208,10.4371584699454,12.4371584699454,13.5081967213115,11.1748633879781
